NAME,TYPE,CODE,SELLING_PRICE,QUANTITY,SALECOUNT,TOTALSALE,COST_PRICE,PROFIT,RETURN_ITEMS
"Apple MacBook Pro 15"" with Touch Bar 512GB (Space Grey)",Laptop,MLH42X/A,4247,48,31,131657,3295,29512,0
"Apple MacBook Pro 15"" with Touch Bar 256GB (Space Grey)",Laptop,MLH32X/A,3597,33,30,107910,2848,22470,7
"Apple iMac with Retina 5K display 27"" 3.3GHz",Laptop,MK482X/A,3594,44,33,118602,2617,32241,2
"Apple iMac with Retina 5K display 27"" 3.2GHz",Laptop,MK472X/A,3096,28,22,68112,2693,8866,7
"Apple MacBook Pro 13"" with Touch Bar 512GB (Silver)",Laptop,MNQG2X/A,2998,25,14,41972,2179,11466,5
"Apple MacBook Pro 15"" 2.2GHz 256GB",Laptop,MJLQ2X/A,2994,26,30,89820,2669,9750,6
"Apple iMac with Retina 5K display 27"" 3.2GHz",Laptop,MK462X/A,2797,47,29,81113,2377,12180,5
"Apple MacBook 12"" 256GB (Silver)",Laptop,MLHA2X/A,1998,21,24,47952,1511,11688,3
"Alienware 15 15.6"" Gaming Laptop (256GB SSD)",Laptop,A5115A3AU,2798,54,19,53162,2133,12635,3
"HP 15-AY150TU 15.6"" Touchscreen Notebook",Laptop,1PL58PA#ABG,1198,32,17,20366,960,4046,3
"Samsung KU6000 70"" 4K UHD HDR Smart LED LCD TV",TV,UA70KU6000WXXY,2996,51,20,59920,2121,17500,1
"Hisense M7000UWG 55"" ULED HDR Smart LED LCD TV",TV,55M7000UWG,1098,34,31,34038,859,7409,7
"Sony X7000D 49"" 4K UHD HDR Android Smart LCD LED TV",TV,KD49X7000D,1298,52,24,31152,1082,5184,5
"Samsung KS8500 55"" Curved 4K SUHD HDR Smart LED LCD TV",TV,UA55KS8500WXXY,2496,50,32,79872,1878,19776,4
"Hisense K3300UW 65"" 4K UHD Smart LED LCD TV",TV,65K3300UW,1496,55,12,17952,1237,3108,6
"Sony X8500D 65"" 4K UHD HDR Android Smart LED LCD TV",TV,KD65X8500D,2796,43,27,75492,2327,12663,6
"Samsung UA75JU6400W 75"" 4K UHD Smart LED LCD TV",TV,UA75JU6400WXXY,3698,35,15,55470,2857,12615,1
"Soniq S70UV16A 70"" UHD Smart LED LCD TV",TV,S70UV16A-AU,1799,36,17,30583,1593,3502,8
"Sony Bravia 85"" 4K HDR UHD LED LCD TV",TV,KD85X8500D,9998,44,23,229954,7269,62767,4
"Sony X9300D 65"" 4K UHD HDR Android Smart LED LCD TV",TV,KD65X9300D,3998,42,14,55972,3162,11704,7
Samsung Galaxy S8 64GB (Black),Mobile phone,1091003347,1199,25,11,13189,914,3135,3
Sony Xperia XZ (Black),Mobile phone,1071000647,899,57,20,17980,681,4360,6
Google Pixel 32GB (Quite Black),Mobile phone,118298,1079,57,22,23738,794,6270,4
ZTE Axon 7 (Grey),Mobile phone,1081000466,699,56,32,22368,540,5088,8
Apple iPhone 7 128GB (Black),Mobile phone,3801000006,1229,52,35,43015,887,11970,3
LG G6 64GB Dual Sim Handset (Black),Mobile phone,3611246,1149,59,25,28725,830,7975,4
Huawei Mate 9 Handset (Mocha),Mobile phone,1101000951,998,44,27,26946,835,4401,1
