NAME,TYPE,CODE,SELLING_PRICE,QUANTITY,SALECOUNT,TOTALSALE,COST_PRICE,PROFIT,RETURN_ITEMS
"Apple MacBook Pro 15"" with Touch Bar 512GB (Space Grey)",Laptop,MLH42X/A,4247,57,10,42470,3295,9520,2
"Apple MacBook Pro 15"" with Touch Bar 256GB (Space Grey)",Laptop,MLH32X/A,3597,54,18,64746,2848,13482,4
"Apple iMac with Retina 5K display 27"" 3.3GHz",Laptop,MK482X/A,3594,51,16,57504,2617,15632,3
"Apple iMac with Retina 5K display 27"" 3.2GHz",Laptop,MK472X/A,3096,37,17,52632,2693,6851,1
"Apple MacBook Pro 13"" with Touch Bar 512GB (Silver)",Laptop,MNQG2X/A,2998,60,19,56962,2179,15561,4
"Apple MacBook Pro 15"" 2.2GHz 256GB",Laptop,MJLQ2X/A,2994,47,19,56886,2669,6175,3
"Apple iMac with Retina 5K display 27"" 3.2GHz",Laptop,MK462X/A,2797,54,10,27970,2377,4200,4
"Apple MacBook 12"" 256GB (Silver)",Laptop,MLHA2X/A,1998,31,10,19980,1511,4870,2
"Alienware 15 15.6"" Gaming Laptop (256GB SSD)",Laptop,A5115A3AU,2798,39,16,44768,2133,10640,1
"HP 15-AY150TU 15.6"" Touchscreen Notebook",Laptop,1PL58PA#ABG,1198,34,18,21564,960,4284,2
"Samsung KU6000 70"" 4K UHD HDR Smart LED LCD TV",TV,UA70KU6000WXXY,2996,58,17,50932,2121,14875,5
"Hisense M7000UWG 55"" ULED HDR Smart LED LCD TV",TV,55M7000UWG,1098,57,19,20862,859,4541,5
"Sony X7000D 49"" 4K UHD HDR Android Smart LCD LED TV",TV,KD49X7000D,1298,45,15,19470,1082,3240,5
"Samsung KS8500 55"" Curved 4K SUHD HDR Smart LED LCD TV",TV,UA55KS8500WXXY,2496,48,18,44928,1878,11124,2
"Hisense K3300UW 65"" 4K UHD Smart LED LCD TV",TV,65K3300UW,1496,53,11,16456,1237,2849,5
"Sony X8500D 65"" 4K UHD HDR Android Smart LED LCD TV",TV,KD65X8500D,2796,55,20,55920,2327,9380,4
"Samsung UA75JU6400W 75"" 4K UHD Smart LED LCD TV",TV,UA75JU6400WXXY,3698,31,18,66564,2857,15138,5
"Soniq S70UV16A 70"" UHD Smart LED LCD TV",TV,S70UV16A-AU,1799,60,12,21588,1593,2472,3
"Sony Bravia 85"" 4K HDR UHD LED LCD TV",TV,KD85X8500D,9998,50,16,159968,7269,43664,1
"Sony X9300D 65"" 4K UHD HDR Android Smart LED LCD TV",TV,KD65X9300D,3998,34,15,59970,3162,12540,2
Samsung Galaxy S8 64GB (Black),Mobile phone,1091003347,1199,45,18,21582,914,5130,4
Sony Xperia XZ (Black),Mobile phone,1071000647,899,50,15,13485,681,3270,5
Google Pixel 32GB (Quite Black),Mobile phone,118298,1079,47,15,16185,794,4275,1
ZTE Axon 7 (Grey),Mobile phone,1081000466,699,40,11,7689,540,1749,1
Apple iPhone 7 128GB (Black),Mobile phone,3801000006,1229,40,13,15977,887,4446,1
LG G6 64GB Dual Sim Handset (Black),Mobile phone,3611246,1149,60,20,22980,830,6380,5
Huawei Mate 9 Handset (Mocha),Mobile phone,1101000951,998,31,12,11976,835,1956,2
