NAME,TYPE,CODE,SELLING PRICE,QUANTITY,SALECOUNT,TOTALSALE,COST PRICE,PROFIT
"Apple MacBook Pro 15"" with Touch Bar 512GB (Space Grey)",Laptop,MLH42X/A,4247,30,91,386477,3445,802
"Apple MacBook Pro 15"" with Touch Bar 256GB (Space Grey)",Laptop,MLH32X/A,3597,99,38,136686,2591,1006
"Apple iMac with Retina 5K display 27"" 3.3GHz",Laptop,MK482X/A,3594,0,19,68286,3019,575
"Apple iMac with Retina 5K display 27"" 3.2GHz",Laptop,MK472X/A,3096,40,72,222912,2682,414
"Apple MacBook Pro 13"" with Touch Bar 512GB (Silver)",Laptop,MNQG2X/A,2998,48,83,248834,2306,692
"Apple MacBook Pro 15"" 2.2GHz 256GB",Laptop,MJLQ2X/A,2994,14,29,86826,2525,469
"Apple iMac with Retina 5K display 27"" 3.2GHz",Laptop,MK462X/A,2797,26,18,50346,2280,517
"Apple MacBook 12"" 256GB (Silver)",Laptop,MLHA2X/A,1998,71,93,185814,1771,227
"Alienware 15 15.6"" Gaming Laptop (256GB SSD)",Laptop,A5115A3AU,2798,20,20,55960,2314,484
"HP 15-AY150TU 15.6"" Touchscreen Notebook",Laptop,1PL58PA#ABG,1198,13,34,40732,937,261
"Samsung KU6000 70"" 4K UHD HDR Smart LED LCD TV",TV,UA70KU6000WXXY,2996,30,57,170772,2565,431
"Hisense M7000UWG 55"" ULED HDR Smart LED LCD TV",TV,55M7000UWG,1098,100,40,43920,773,325
"Sony X7000D 49"" 4K UHD HDR Android Smart LCD LED TV",TV,KD49X7000D,1298,25,9,11682,1150,148
"Samsung KS8500 55"" Curved 4K SUHD HDR Smart LED LCD TV",TV,UA55KS8500WXXY,2496,14,95,237120,2008,488
"Hisense K3300UW 65"" 4K UHD Smart LED LCD TV",TV,65K3300UW,1496,0,72,107712,1304,192
"Sony X8500D 65"" 4K UHD HDR Android Smart LED LCD TV",TV,KD65X8500D,2796,67,40,111840,2037,759
"Samsung UA75JU6400W 75"" 4K UHD Smart LED LCD TV",TV,UA75JU6400WXXY,3698,10,66,244068,3073,625
"Soniq S70UV16A 70"" UHD Smart LED LCD TV",TV,S70UV16A-AU,1799,13,88,158312,1490,309
"Sony Bravia 85"" 4K HDR UHD LED LCD TV",TV,KD85X8500D,9998,31,75,749850,8929,1069
"Sony X9300D 65"" 4K UHD HDR Android Smart LED LCD TV",TV,KD65X9300D,3998,5,63,251874,3571,427
Samsung Galaxy S8 64GB (Black),Mobile phone,1091003347,1199,24,90,107910,1026,173
Sony Xperia XZ (Black),Mobile phone,1071000647,899,84,50,44950,809,90
Google Pixel 32GB (Quite Black),Mobile phone,118298,1079,72,28,30212,759,320
ZTE Axon 7 (Grey),Mobile phone,1081000466,699,39,36,25164,626,73
Apple iPhone 7 128GB (Black),Mobile phone,3801000006,1229,32,17,20893,1051,178
LG G6 64GB Dual Sim Handset (Black),Mobile phone,3611246,1149,43,12,13788,978,171
Huawei Mate 9 Handset (Mocha),Mobile phone,1101000951,998,67,78,77844,831,167
HTC U Ultra 64GB Handset (Cosmetic Pink),Mobile phone,1011001103,898,28,72,64656,707,191
Oppo R9s Plus Handset (Gold),Mobile phone, CPH1611GOLD,698,29,54,37692,535,163
Samsung Galaxy Note 5 32GB (Black),Mobile phone,1091002203,947,25,73,69131,697,250
Canon EOS 1300D Digital SLR Camera (with 18-55mm Lens),Camera,1300DKB,499,10,96,47904,438,61
Olympus OM-D E-M1 Mark II Digital SLR (Body Only),Camera, V207060BA000,2499,25,26,64974,1915,584
Sony FDRAX53 4K Handycam w/ BOSS,Camera,FDRAX53,1099,56,88,96712,882,217
Nikon Coolpix P900 16MP Digital Camera,Camera,DC-GX850KGNS,798,7,30,23940,661,137
Canon Powershot G9 X Mark II 20.1MP Digital Camera (Silver),Camera,VNA750AC,749,78,84,62916,643,106
Fujifilm Instax Mini 8 Instant Camera and Case (Grape),Camera,G9XIIS,548,12,96,52608,418,130
Nikon D3400 24.2MP Digital SLR Camera w/ 18-55mm Lens Kit,Camera, 84933,99,66,51,5049,83,16
GoPro Hero5 Black 4K Action Video Camera,Camera,791490,549,47,49,26901,396,153
Panasonic Lumix DC-FZ80GN-K 18.1MP Ultra Zoom Digital Camera,Camera, GPCHDHX-501,548,32,34,18632,385,163
Nikon Coolpix B700 20.3MP Ultra Zoom Digital Camera,Camera, DC-FZ80GN-K,598,12,97,58006,447,151
"Mackie CR4 4"" Powered Studio Monitors",Audio,M-CR4,196,78,49,9604,141,55
Jaybird Freedom Wireless In-Ear Headphones (Carbon),Audio,F5-S-B-AP-ANZ,249,228,91,22659,193,56
AERPRO Multicolour LED 5M Strip Lighting,Audio,SMD5MC,28,34,10,280,21,7
Marley Smile Jamaica In-Ear Headphones (Copper),Audio,EMJE041CP,24.95,86,14,349.3,22,2.95
MXL Tempo SK USB Microphone (Silver),Audio,MXL-TEMPO SK,98,47,48,4704,74,24
JBL E55BT Over-Ear Wireless Headphones (Black),Audio,3378033,229,88,61,13969,186,43
Novation Launchpad Mini Music Creator,Audio,NOV-LPMIN,141,295,99,13959,113,28
Beats Tour 2 Active In-Ear Headphones (Red),Audio,MKPV2PA/A,169,110,100,16900,121,48
Stadium USBMIC1 USB Studio Microphone,Audio,USBMIC1,78,82,3,234,62,16
Rode NTUSB Microphone,Audio,NTUSB,168,5,60,10080,137,31
,,,,,,,,
