DATE,COST_OF_GOODS,FREIGHT_COSTS,WAGES,OVERHEAD,SALES,1,PROFIT
1,43007,661,1893,960,71360,3,6563
2,37359,179,1730,618,67271,3,13733
3,44437,669,1881,1556,24449,1,17780
4,35108,376,1529,838,47151,3,11768
5,33363,393,1898,617,53589,4,12058
6,42150,979,1853,1721,63304,4,11316
7,34985,298,1571,1556,33363,0,10754
8,36342,424,1852,838,40721,2,16346
9,33137,222,1572,617,23358,0,11345
10,40791,181,1658,1721,19341,2,11598
11,45111,179,1987,1556,29588,2,13823
12,33849,442,1537,838,67920,3,7446
13,45540,376,1718,1490,26880,3,14657
14,38182,393,1624,987,50458,2,9361
15,35073,979,1666,1973,42926,2,5331
16,49691,298,1526,617,43491,4,19972
17,40552,298,1501,618,42002,1,12604
18,49831,424,1605,1556,32276,4,19396
19,48914,181,1960,1556,45812,3,13351
20,37690,179,1788,838,49674,0,5927
21,35479,442,1517,617,79949,2,8815
22,30160,376,1897,1721,21674,1,17038
23,34584,393,1725,1556,82493,4,11147
24,44840,979,1719,838,67740,0,18197
25,39614,298,1585,1556,40666,2,12302
26,44874,298,1956,838,52714,0,15982
27,38730,424,1589,617,12549,0,12193
28,37408,222,1872,1721,16498,0,16921
29,38067,281,1868,1556,72810,4,6001
