DATE,COST_OF_GOODS,FREIGHT_COSTS,WAGES,OVERHEAD,SALES,RETURN,PROFIT
1,30961,661,1893,960,38743,1,12986
2,39787,820,1730,618,68480,2,11252
3,22925,426,1881,1478,46775,1,11339
4,33491,242,1529,935,37417,1,11109
5,32653,389,1898,1136,47473,0,9254
6,36599,979,1853,679,56955,2,5758
7,30557,298,1571,1278,28146,0,7344
8,22184,424,1852,1208,62236,2,5851
9,25999,222,1572,1354,56511,1,6099
10,36858,181,1658,1721,47217,0,6739
11,25725,179,1987,1556,44718,2,10848
12,24429,442,1537,838,26554,2,7930
13,35881,181,1718,1490,49098,1,6418
14,42813,179,1624,987,38732,2,7718
15,26022,669,1666,1973,69402,2,9076
16,39185,376,1526,617,59230,1,7302
17,42159,393,1501,786,37708,1,10063
18,30045,972,1605,1383,22593,0,12645
19,22738,661,1960,1897,64291,2,7620
20,24231,889,1788,1528,68447,0,12518
21,22578,979,1517,1367,39742,2,10739
22,30900,298,1897,1178,30694,1,11085
23,27699,424,1725,1788,54799,0,7662
24,41144,442,1719,1982,21606,2,5950
25,24027,181,1585,1973,24594,2,10358
26,27680,179,1956,1733,51636,1,12032
27,35509,669,1589,1205,55852,2,5232
28,44389,776,1872,1533,65831,2,6244
29,21537,281,1868,587,59835,1,9497
