DATE,COST_OF_GOODS,FREIGHT_COSTS,WAGES,OVERHEAD,SALES,RETURN,PROFIT
1,140263,346,2381,1385,26619,0,21804
2,22423,497,1934,2270,28833,1,18049
3,110839,211,1728,2132,28877,3,144258
4,129348,299,2036,2027,27890,3,18156
5,68551,465,2409,2395,29251,0,25078
6,40056,439,1697,943,22748,1,13890
7,31817,223,2025,1972,28472,1,26430
8,124204,467,1720,907,21114,2,12344
9,47975,207,2272,1081,15955,0,24456
10,93010,210,2045,1881,24658,1,16234
11,118511,298,2184,1283,29219,2,26823
12,98922,448,2389,2182,17938,1,24883
13,50449,258,2121,1828,25263,3,25756
14,46845,389,2210,1134,27599,2,13015
15,130731,255,1609,2234,16141,3,24562
16,79851,293,1719,1513,22549,2,18284
17,43513,455,1738,2119,29966,2,29704
18,115157,470,2093,1391,16304,3,19535
19,112304,464,2419,1179,27245,3,21458
20,52195,278,2340,1169,17896,0,12500
21,35059,356,1661,1937,29542,1,16061
22,100735,237,1919,1835,19821,0,14047
23,52207,204,2473,1353,17682,3,13481
24,73853,300,2260,1533,17770,1,19219
25,140167,387,1995,1543,25261,1,15305
26,47098,309,1518,2348,22691,1,27398
27,149277,370,1817,1603,15349,3,20768
28,132824,479,2005,1409,20640,0,16805
29,69009,418,1859,770,16972,3,11866
