DATE,COST_OF_GOODS,FREIGHT_COSTS,WAGES,OVERHEAD,SALES,RETURN,PROFIT
1,11847,661,7198,1385,26619,20,21804
2,26169,820,7525,2270,28833,38,18049
3,19302,426,5778,2132,28877,19,14458
4,13231,242,6383,2027,27890,11,18156
5,11558,889,6424,2395,29251,19,25078
6,28407,979,9881,943,22748,22,13890
7,20908,298,5721,1972,28472,46,26430
8,17034,424,6127,907,21114,27,12344
9,11125,442,7567,1081,15955,18,24456
10,22124,181,7767,1881,24658,11,16234
11,17069,179,8432,1283,29219,31,26823
12,12445,669,8644,2182,17938,40,24883
13,25875,776,9001,1828,25263,13,25756
14,25586,393,5168,1134,27599,26,13015
15,13570,972,5577,2234,16141,33,24562
16,25148,781,6425,1513,22549,11,18284
17,16081,953,9804,2119,29966,33,29704
18,24157,687,9421,1391,16304,34,19535
19,25048,155,5561,1179,27245,17,21458
20,29443,223,8519,1169,17896,40,12500
21,18865,111,6133,1937,29542,17,16061
22,25703,137,5504,1835,19821,24,14047
23,11148,594,7269,1353,17682,34,13481
24,20195,548,5282,1533,17770,23,19219
25,23913,378,9389,1543,25261,19,15305
26,26198,188,6868,2348,22691,41,27398
27,13394,650,9697,1603,15349,31,20768
28,19692,714,6747,1409,20640,12,16805
29,16848,281,6414,770,16972,37,11866
