COST_OF_GOODS,FREIGHT_COSTS,WAGES,OVERHEAD
11847,661,7198,1385
26169,820,7525,2270
19302,426,5778,2132
13231,242,6383,2027
11558,889,6424,2395
28407,979,9881,943
20908,298,5721,1972
17034,424,6127,907
11125,442,7567,1081
22124,181,7767,1881
17069,179,8432,1283
12445,669,8644,2182
25875,776,9001,1828
25586,393,5168,1134
13570,972,5577,2234
25148,781,6425,1513
16081,953,9804,2119
24157,687,9421,1391
25048,155,5561,1179
29443,223,8519,1169
18865,111,6133,1937
25703,137,5504,1835
11148,594,7269,1353
20195,548,5282,1533
23913,378,9389,1543
26198,188,6868,2348
13394,650,9697,1603
19692,714,6747,1409
16848,281,6414,770
